phase,blocknum,stimulus,outcome,context,trialname,trialnum,PID,group,group_name,cb,shock_level,shock_high,shock_low
conditioning,1,TENS,low,A,TENS_low,1,1,2,AAA,1,1,1,11
conditioning,1,TENS,low,A,TENS_low,2,1,2,AAA,1,1,1,11
conditioning,1,control,high,A,control_high,3,1,2,AAA,1,1,1,11
conditioning,1,TENS,low,A,TENS_low,4,1,2,AAA,1,1,1,11
conditioning,1,control,high,A,control_high,5,1,2,AAA,1,1,1,11
conditioning,1,TENS,low,A,TENS_low,6,1,2,AAA,1,1,1,11
conditioning,1,control,high,A,control_high,7,1,2,AAA,1,1,1,11
conditioning,1,control,high,A,control_high,8,1,2,AAA,1,1,1,11
conditioning,2,TENS,low,A,TENS_low,9,1,2,AAA,1,1,1,11
conditioning,2,control,high,A,control_high,10,1,2,AAA,1,1,1,11
conditioning,2,control,high,A,control_high,11,1,2,AAA,1,1,1,11
conditioning,2,TENS,low,A,TENS_low,12,1,2,AAA,1,1,1,11
conditioning,2,control,high,A,control_high,13,1,2,AAA,1,1,1,11
conditioning,2,TENS,low,A,TENS_low,14,1,2,AAA,1,1,1,11
conditioning,2,control,high,A,control_high,15,1,2,AAA,1,1,1,11
conditioning,2,TENS,low,A,TENS_low,16,1,2,AAA,1,1,1,11
conditioning,3,TENS,high,A,probe,17,1,2,AAA,1,1,1,11
conditioning,3,TENS,low,A,TENS_low,18,1,2,AAA,1,1,1,11
conditioning,3,TENS,low,A,TENS_low,19,1,2,AAA,1,1,1,11
conditioning,3,TENS,low,A,TENS_low,20,1,2,AAA,1,1,1,11
conditioning,3,control,high,A,control_high,21,1,2,AAA,1,1,1,11
conditioning,3,control,high,A,control_high,22,1,2,AAA,1,1,1,11
conditioning,3,control,high,A,control_high,23,1,2,AAA,1,1,1,11
conditioning,3,TENS,low,A,TENS_low,24,1,2,AAA,1,1,1,11
conditioning,3,control,high,A,control_high,25,1,2,AAA,1,1,1,11
conditioning,4,TENS,high,A,probe,26,1,2,AAA,1,1,1,11
conditioning,4,TENS,low,A,TENS_low,27,1,2,AAA,1,1,1,11
conditioning,4,control,high,A,control_high,28,1,2,AAA,1,1,1,11
conditioning,4,control,high,A,control_high,29,1,2,AAA,1,1,1,11
conditioning,4,TENS,low,A,TENS_low,30,1,2,AAA,1,1,1,11
conditioning,4,control,high,A,control_high,31,1,2,AAA,1,1,1,11
conditioning,4,TENS,low,A,TENS_low,32,1,2,AAA,1,1,1,11
conditioning,4,control,high,A,control_high,33,1,2,AAA,1,1,1,11
conditioning,4,TENS,low,A,TENS_low,34,1,2,AAA,1,1,1,11
extinction,1,control,high,B,control_high,35,1,2,AAA,1,1,1,11
extinction,1,TENS,high,B,TENS_high,36,1,2,AAA,1,1,1,11
extinction,1,control,high,B,control_high,37,1,2,AAA,1,1,1,11
extinction,1,TENS,high,B,TENS_high,38,1,2,AAA,1,1,1,11
extinction,1,control,high,B,control_high,39,1,2,AAA,1,1,1,11
extinction,1,TENS,high,B,TENS_high,40,1,2,AAA,1,1,1,11
extinction,1,TENS,high,B,TENS_high,41,1,2,AAA,1,1,1,11
extinction,1,control,high,B,control_high,42,1,2,AAA,1,1,1,11
extinction,2,control,high,B,control_high,43,1,2,AAA,1,1,1,11
extinction,2,TENS,high,B,TENS_high,44,1,2,AAA,1,1,1,11
extinction,2,TENS,high,B,TENS_high,45,1,2,AAA,1,1,1,11
extinction,2,control,high,B,control_high,46,1,2,AAA,1,1,1,11
extinction,2,TENS,high,B,TENS_high,47,1,2,AAA,1,1,1,11
extinction,2,TENS,high,B,TENS_high,48,1,2,AAA,1,1,1,11
extinction,2,control,high,B,control_high,49,1,2,AAA,1,1,1,11
extinction,2,control,high,B,control_high,50,1,2,AAA,1,1,1,11
extinction,3,control,high,B,control_high,51,1,2,AAA,1,1,1,11
extinction,3,control,high,B,control_high,52,1,2,AAA,1,1,1,11
extinction,3,control,high,B,control_high,53,1,2,AAA,1,1,1,11
extinction,3,control,high,B,control_high,54,1,2,AAA,1,1,1,11
